ticker	signal_price
ETH-USD	4726.89
ETH-USD	3929.96
ETH-USD	3983.24
ETH-USD	3979.16
ETH-USD	4140.46
ETH-USD	3886.39
ETH-USD	3529.44
ETH-USD	2831.38
ETH-USD	2892.62
ETH-USD	2919.93
ETH-USD	2912.86
ETH-USD	2916.41
ETH-USD	2911.57
ETH-USD	3052.61
ETH-USD	3067.27
ETH-USD	3067.78
ETH-USD	4499.53
ETH-USD	4573.84
ETH-USD	4577.38
ETH-USD	4680.45
ETH-USD	3874.43
ETH-USD	3515.83
ETH-USD	2890.61
ETH-USD	2916.41
ETH-USD	2923.84
ETH-USD	3031.44
ETH-USD	3058.44
ETH-USD	3073.74
ETH-USD	3837.61
ETH-USD	3031.44
ETH-USD	3071.97
SOL-USD	224.72
SOL-USD	225.39
SOL-USD	225.76
SOL-USD	233.12
SOL-USD	233.12
SOL-USD	228.04
SOL-USD	236.0
SOL-USD	236.21
SOL-USD	236.29
SOL-USD	236.16
SOL-USD	233.4
SOL-USD	222.44
SOL-USD	229.1
SOL-USD	221.27
SOL-USD	221.65
SOL-USD	221.86
SOL-USD	181.2
SOL-USD	195.99
SOL-USD	196.86
SOL-USD	197.27
SOL-USD	209.72
SOL-USD	202.28
SOL-USD	204.57
SOL-USD	204.1
SOL-USD	196.75
SOL-USD	186.75
SOL-USD	186.85
SOL-USD	183.1
SOL-USD	184.56
SOL-USD	185.61
SOL-USD	184.9
SOL-USD	187.44
SOL-USD	187.15
SOL-USD	190.16
SOL-USD	191.06
SOL-USD	191.34
SOL-USD	191.46
SOL-USD	192.91
SOL-USD	191.93
SOL-USD	190.61
SOL-USD	186.16
SOL-USD	186.27
SOL-USD	186.69
SOL-USD	183.03
SOL-USD	188.24
SOL-USD	188.87
SOL-USD	192.45
SOL-USD	193.38
SOL-USD	193.65
SOL-USD	193.73
SOL-USD	193.55
SOL-USD	193.75
SOL-USD	194.79
SOL-USD	194.4
SOL-USD	194.32
SOL-USD	194.14
SOL-USD	198.94
SOL-USD	199.2
SOL-USD	204.52
SOL-USD	194.62
SOL-USD	195.42
SOL-USD	195.66
SOL-USD	186.09
SOL-USD	186.54
SOL-USD	189.03
SOL-USD	187.4
SOL-USD	186.39
SOL-USD	187.63
SOL-USD	175.81
SOL-USD	157.1
SOL-USD	157.98
SOL-USD	158.22
SOL-USD	159.47
SOL-USD	163.33
SOL-USD	156.47
SOL-USD	163.35
SOL-USD	164.03
SOL-USD	157.98
SOL-USD	157.97
SOL-USD	158.1
SOL-USD	159.05
SOL-USD	159.13
SOL-USD	160.01
SOL-USD	167.39
SOL-USD	167.6
SOL-USD	167.66
SOL-USD	169.32
SOL-USD	167.67
SOL-USD	160.56
SOL-USD	143.23
SOL-USD	143.53
SOL-USD	142.81
SOL-USD	142.71
SOL-USD	141.56
SOL-USD	141.69
SOL-USD	141.61
SOL-USD	141.86
SOL-USD	141.79
SOL-USD	139.91
SOL-USD	139.92
SOL-USD	140.38
SOL-USD	140.72
SOL-USD	141.28
SOL-USD	141.43
SOL-USD	141.95
SOL-USD	142.01
SOL-USD	131.27
SOL-USD	131.31
SOL-USD	133.84
SOL-USD	136.89
SOL-USD	137.28
SOL-USD	137.61
SOL-USD	137.76
SOL-USD	138.19
SOL-USD	138.35
SOL-USD	140.85
SOL-USD	141.51
SOL-USD	136.62
SOL-USD	137.42
SOL-USD	144.01
SOL-USD	129.38
SOL-USD	127.77
SOL-USD	127.7
SOL-USD	128.13
SOL-USD	130.78
SOL-USD	132.74
SOL-USD	129.62
SOL-USD	138.82
SOL-USD	138.54
SOL-USD	136.29
SOL-USD	136.2
SOL-USD	139.96
SOL-USD	142.32
