ticker	date	intervals	signal_price	current_price	current_time	nx_1d_signal	nx_30m_signal	nx_1d	nx_1h	nx_30m
SQQQ	2025-07-29	1,2,3	90.64	68.41	2025-11-28 00:00:00	False		False	False	False
COST	2025-07-28	1,2,4	933.99	913.59	2025-11-28 00:00:00	False		False	False	True
SH	2025-07-28	2,3,4	38.78	36.35	2025-11-28 00:00:00	False		False	False	False
SQQQ	2025-07-28	1,2,3	90.81	68.41	2025-11-28 00:00:00	False		False	False	False
COST	2025-07-25	1,2,4	937.45	913.59	2025-11-28 00:00:00	False		False	False	True
CRWD	2025-07-25	1,2,3	469.43	509.16	2025-11-28 00:00:00	True		True	False	False
LULU	2025-07-25	1,2,3	219.39	184.18	2025-11-28 00:00:00	False		False	True	True
SQQQ	2025-07-25	1,2,3	91.27	68.41	2025-11-28 00:00:00	False		False	False	False
CRWV	2025-07-22	1,2,3	126.94	73.12	2025-11-28 00:00:00	True		False	False	False
CRWV	2025-07-21	1,2,3	128.84	73.12	2025-11-28 00:00:00	True		False	False	False
GDXU	2025-07-21	1,2,3	75.6	223.83	2025-11-28 00:00:00	True		True	True	True
SH	2025-07-21	1,2,3	39.17	36.35	2025-11-28 00:00:00	False		False	False	False
XIACY	2025-07-18	1,2,3	36.4	26.64	2025-11-28 00:00:00	True		False	False	True
ADBE	2025-07-17	1,2,3,4	365.68	320.13	2025-11-28 00:00:00	False		False	False	False
LULU	2025-07-17	2,3,4	232.13	184.18	2025-11-28 00:00:00	False		False	True	True
RIVN	2025-07-17	1,2,3,4	13.05	16.86	2025-11-28 00:00:00	False		True	True	True
ADBE	2025-07-16	1,2,3	363.51	320.13	2025-11-28 00:00:00	False		False	False	False
RR	2025-07-16	1,2,3,4	1.85	3.55	2025-11-28 00:00:00	False		True	False	True
JD	2025-07-15	1,2,3	31.93	29.83	2025-11-28 00:00:00	False		False	False	True
SERV	2025-07-14	1,2,3,4	10.68	10.26	2025-11-28 00:00:00	True		False	False	True
XPEV	2025-07-14	1,2,3,4	17.45	21.83	2025-11-28 00:00:00	False		True	False	False
XPEV	2025-07-11	1,2,3	17.4	21.83	2025-11-28 00:00:00	False		True	False	False
SE	2025-07-10	1,2,3	149.73	139.01	2025-11-28 00:00:00	True		False	False	False
CRWV	2025-07-09	1,2,3	153.81	73.12	2025-11-28 00:00:00	True		False	False	False
SERV	2025-07-09	2,3,4	10.65	10.26	2025-11-28 00:00:00	True		False	False	True
LI	2025-07-07	1,2,3,4	26.82	18.39	2025-11-28 00:00:00	True		False	False	False
COST	2025-07-03	1,2,3	985.83	913.59	2025-11-28 00:00:00	True		False	False	True
DUO	2025-07-02	1,2,3,4	2.22	1.81	2025-11-28 00:00:00	False		False	False	True
DUO	2025-07-01	1,2,3	2.08	1.81	2025-11-28 00:00:00	False		False	False	True
XPEV	2025-07-01	1,2,3,4	18.39	21.83	2025-11-28 00:00:00	True		True	False	False
OPEN	2025-06-26	1,2,3,4	0.54	7.7	2025-11-28 00:00:00	False		True	True	True
QBTS	2025-06-25	1,2,3	14.77	22.67	2025-11-28 00:00:00	True		True	False	False
JD	2025-06-24	2,3,4	32.49	29.83	2025-11-28 00:00:00	False		False	False	True
OPEN	2025-06-24	1,2,3	0.56	7.7	2025-11-28 00:00:00	False		True	True	True
QBTS	2025-06-24	1,2,3	14.96	22.67	2025-11-28 00:00:00	True		True	False	False
RGTI	2025-06-24	1,2,3	11.6	25.57	2025-11-28 00:00:00	True		True	False	True
BABA	2025-06-23	1,2,3,4	113.09	157.3	2025-11-28 00:00:00	True		True	False	False
DJT	2025-06-23	1,2,3	17.91	11.54	2025-11-28 00:00:00	False		False	False	True
RR	2025-06-23	1,2,3	1.79	3.55	2025-11-28 00:00:00	True		True	False	True
SOL-USD	2025-06-22	1,2,3,4	133.46	136.37	2025-11-30 00:00:00	False		False	False	True
CRM	2025-06-20	1,2,3,4	260.6	230.54	2025-11-28 00:00:00	False		False	False	False
SOL-USD	2025-06-20	1,2,3,4	146.73	136.37	2025-11-30 00:00:00	False		False	False	True
DJT	2025-06-18	1,2,3	18.58	11.54	2025-11-28 00:00:00	False		False	False	True
RIVN	2025-06-18	1,2,3,4	13.79	16.86	2025-11-28 00:00:00	True		True	True	True
OPEN	2025-06-17	1,2,3,4	0.57	7.7	2025-11-28 00:00:00	False		True	True	True
ALAB	2025-06-16	1,2,3	96.33	157.57	2025-11-28 00:00:00	True		False	False	True
BABA	2025-06-16	2,3,4	116.51	157.3	2025-11-28 00:00:00	True		True	False	False
CRM	2025-06-16	2,3,4	263.8	230.54	2025-11-28 00:00:00	False		False	False	False
HOLO	2025-06-16	1,2,3	4.33	3.58	2025-11-28 00:00:00	False		False	False	True
QMCO	2025-06-16	1,2,3	10.33	7.85	2025-11-28 00:00:00	False		False	False	True
RIVN	2025-06-16	1,2,3,4	13.94	16.86	2025-11-28 00:00:00	True		True	True	True
SOL-USD	2025-06-15	2,3,4	151.84	136.37	2025-11-30 00:00:00	True		False	False	True
OPEN	2025-06-11	1,2,3,4	0.62	7.7	2025-11-28 00:00:00	False		True	True	True
SH	2025-06-11	1,2,3,4	41.16	36.35	2025-11-28 00:00:00	False		False	False	False
SQQQ	2025-06-11	1,2,3	110.83	68.41	2025-11-28 00:00:00	False		False	False	False
HOLO	2025-06-10	1,2,3,4	4.85	3.58	2025-11-28 00:00:00	False		False	False	True
OPEN	2025-06-10	1,2,3	0.6	7.7	2025-11-28 00:00:00	False		True	True	True
SH	2025-06-10	1,2,3	41.19	36.35	2025-11-28 00:00:00	False		False	False	False
HOLO	2025-06-09	1,2,3,4	4.83	3.58	2025-11-28 00:00:00	False		False	False	True
SH	2025-06-09	1,2,3	41.28	36.35	2025-11-28 00:00:00	False		False	False	False
BTC-USD	2025-06-06	1,2,3	105098.6	90908.02	2025-11-30 00:00:00	True		False	True	True
COIN	2025-06-06	1,2,3	251.86	272.82	2025-11-28 00:00:00	True		False	False	True
DJT	2025-06-06	1,2,4	20.89	11.54	2025-11-28 00:00:00	False		False	False	True
DUO	2025-06-06	1,2,3,4	3.2	1.81	2025-11-28 00:00:00	False		False	False	True
