ticker	date	intervals	signal_price	current_price	current_time	nx_1d	nx_30m
SOL	2025-03-03	1,2,3	1.62	1.91	2025-07-29 00:00:00	False	
ALAB	2025-02-28	1,2,3,4	74.32	118.41	2025-07-29 00:00:00	False	
DJT	2025-02-28	2,3,4	24.11	17.81	2025-07-29 00:00:00	False	
GME	2025-02-28	2,3,4	25.04	22.55	2025-07-29 00:00:00	False	
MSFT	2025-02-28	1,2,3,4	397.14	512.57	2025-07-29 00:00:00	False	
PHUN	2025-02-28	1,2,3	3.08	2.91	2025-07-29 00:00:00	False	
QMCO	2025-02-28	1,2,3	11.75	7.88	2025-07-29 00:00:00	False	
QUBT	2025-02-28	1,2,3,4	6.22	15.37	2025-07-29 00:00:00	True	
GME	2025-02-27	2,3,4	25.15	22.55	2025-07-29 00:00:00	False	
TLRY	2025-02-27	1,2,3	0.8	0.58	2025-07-29 00:00:00	False	
AAL	2025-02-26	1,2,3	15.43	11.42	2025-07-29 00:00:00	True	
ALAB	2025-02-26	1,2,3,4	82.35	118.41	2025-07-29 00:00:00	False	
QUBT	2025-02-26	2,3,4	6.85	15.37	2025-07-29 00:00:00	True	
SOUN	2025-02-26	1,2,4	9.85	10.69	2025-07-29 00:00:00	True	
TLRY	2025-02-26	1,2,3	0.82	0.58	2025-07-29 00:00:00	False	
QMCO	2025-02-25	1,2,3	13.58	7.88	2025-07-29 00:00:00	False	
TLRY	2025-02-21	1,2,3	0.92	0.58	2025-07-29 00:00:00	False	
MARA	2025-02-20	1,2,3,4	15.94	16.61	2025-07-29 00:00:00	False	
TLRY	2025-02-20	1,2,3	0.87	0.58	2025-07-29 00:00:00	False	
BTC	2025-02-19	1,2,3,4	42.55	52.04	2025-07-29 00:00:00	True	
CAT	2025-02-19	1,3,4	352.83	430.05	2025-07-29 00:00:00	False	
IBIT	2025-02-19	1,2,3,4	54.59	66.71	2025-07-29 00:00:00	True	
QMCO	2025-02-19	2,3,4	15.8	7.88	2025-07-29 00:00:00	True	
QUBT	2025-02-19	1,2,3	7.97	15.37	2025-07-29 00:00:00	True	
TLRY	2025-02-19	1,2,4	0.87	0.58	2025-07-29 00:00:00	False	
CAT	2025-02-18	1,2,3,4	355.22	430.05	2025-07-29 00:00:00	False	
CAT	2025-02-14	1,2,3	353.42	430.05	2025-07-29 00:00:00	False	
TLRY	2025-02-14	2,3,4	0.93	0.58	2025-07-29 00:00:00	False	
CAT	2025-02-13	1,2,3	356.62	430.05	2025-07-29 00:00:00	False	
MARA	2025-02-13	1,2,3,4	16.51	16.61	2025-07-29 00:00:00	False	
MLGO	2025-02-13	1,2,3,4	37.65	10.01	2025-07-29 00:00:00	False	
TLRY	2025-02-13	2,3,4	0.94	0.58	2025-07-29 00:00:00	False	
BTC	2025-02-12	1,2,3	43.25	52.04	2025-07-29 00:00:00	True	
COIN	2025-02-12	1,2,3	272.11	371.44	2025-07-29 00:00:00	True	
HOLO	2025-02-12	1,2,3	50.8	4.67	2025-07-29 00:00:00	False	
IBIT	2025-02-12	1,2,3	55.03	66.71	2025-07-29 00:00:00	True	
MARA	2025-02-12	1,2,3,4	16.32	16.61	2025-07-29 00:00:00	False	
MLGO	2025-02-12	1,2,3	36.77	10.01	2025-07-29 00:00:00	False	
SQQQ	2025-02-12	1,2,3	28.07	18.17	2025-07-29 00:00:00	False	
TLRY	2025-02-12	1,3,4	0.95	0.58	2025-07-29 00:00:00	False	
SQQQ	2025-02-11	1,2,3	28.12	18.17	2025-07-29 00:00:00	False	
GME	2025-02-10	1,2,3,4	26.6	22.55	2025-07-29 00:00:00	True	
INTC	2025-02-10	1,2,3	19.87	20.41	2025-07-29 00:00:00	False	
MARA	2025-02-10	1,2,3,4	17.02	16.61	2025-07-29 00:00:00	False	
SOL	2025-02-10	1,2,3	1.76	1.91	2025-07-29 00:00:00	False	
GME	2025-02-07	1,2,3	24.72	22.55	2025-07-29 00:00:00	True	
MARA	2025-02-07	1,2,3,4	16.77	16.61	2025-07-29 00:00:00	False	
AMD	2025-02-06	1,2,3,4	110.14	177.44	2025-07-29 00:00:00	False	
DUO	2025-02-06	1,3,4	9.18	2.08	2025-07-29 00:00:00	False	
HOLO	2025-02-06	1,2,3	58.6	4.67	2025-07-29 00:00:00	False	
TSLA	2025-02-06	1,2,3	374.31	321.2	2025-07-29 00:00:00	True	
AMD	2025-02-05	1,2,3,4	112.02	177.44	2025-07-29 00:00:00	False	
OPEN	2025-02-05	2,3,4	1.37	2.05	2025-07-29 00:00:00	False	
AMD	2025-02-04	1,2,3,4	118.07	177.44	2025-07-29 00:00:00	False	
DELL	2025-02-04	1,2,3,4	101.88	133.51	2025-07-29 00:00:00	False	
HOLO	2025-02-04	1,2,3	62.2	4.67	2025-07-29 00:00:00	False	
MLGO	2025-02-04	1,2,3	50.85	10.01	2025-07-29 00:00:00	False	
SMCI	2025-02-04	1,2,3,4	28.82	58.63	2025-07-29 00:00:00	False	
TSLA	2025-02-04	1,2,3	389.81	321.2	2025-07-29 00:00:00	True	
AAOI	2025-01-30	2,3,4	27.73	24.11	2025-07-29 00:00:00	True	
TLRY	2025-01-30	1,2,3	1.09	0.58	2025-07-29 00:00:00	False	
AMD	2025-01-29	1,2,3,4	117.58	177.44	2025-07-29 00:00:00	False	
GME	2025-01-28	1,2,4	27.46	22.55	2025-07-29 00:00:00	True	
TLRY	2025-01-28	1,2,3	1.1	0.58	2025-07-29 00:00:00	False	
TLRY	2025-01-23	1,2,3	1.12	0.58	2025-07-29 00:00:00	False	
AAPL	2025-01-17	1,2,3	229.99	211.27	2025-07-29 00:00:00	True	
AMD	2025-01-15	2,3,4	119.91	177.44	2025-07-29 00:00:00	False	
